CatchIDN,DwnCatchIDN,Watershed,rep_x,rep_y
131,129,Aliso,-117.68264012788708,33.54871573476112
132,129,Aliso,-117.68705135232787,33.54105976363036
133,129,Aliso,-117.68151195429024,33.54585241312087
134,326,Aliso,-117.68377422029235,33.53069583576989
137,4,Aliso,-117.70057806309454,33.54808968966337
138,161,Aliso,-117.70372367667959,33.52531512622127
139,141,Aliso,-117.72301032874111,33.530622534153665
140,152,Aliso,-117.71935591899552,33.53064072202412
141,253,Aliso,-117.72054783500819,33.52799681398321
142,152,Aliso,-117.71672636469408,33.52851687941001
143,150,Aliso,-117.7190838153882,33.53842477914557
144,143,Aliso,-117.71593307889717,33.53434591723611
145,253,Aliso,-117.72228531367222,33.5238693890506
146,147,Aliso,-117.72755739527767,33.532997980964915
147,145,Aliso,-117.72712304614248,33.52774136570815
150,153,Aliso,-117.71358346055624,33.544158194665926
151,144,Aliso,-117.71204679402948,33.53736186036396
153,123620,Aliso,-117.71439963532924,33.54831668674204
154,150,Aliso,-117.71821095198777,33.543517245381466
155,123519,Aliso,-117.71389756112949,33.55956762663021
156,157,Aliso,-117.70043220404435,33.55600156867837
123604,132,Aliso,-117.68763223544354,33.53839475753636
160,194,Aliso,-117.69554194509928,33.52592462540321
161,163,Aliso,-117.71504465815318,33.52035664853
163,152,Aliso,-117.71197161053496,33.524069743910545
164,322,Aliso,-117.72829825590782,33.558456940031654
165,123517,Aliso,-117.72969318408575,33.5529250898636
166,324,Aliso,-117.72558952442498,33.55486412902077
167,123519,Aliso,-117.71989403288279,33.56125375169903
169,229,Aliso,-117.72411152537228,33.53828004800974
170,195,Aliso,-117.69028476384084,33.565368393312795
171,113,Aliso,-117.69938462757354,33.574617424015315
172,108,Aliso,-117.68725065191259,33.58715259297523
173,123531,Aliso,-117.7000582865289,33.58429302931435
174,123533,Aliso,-117.7004683499695,33.585828777117754
175,297,Aliso,-117.69591199213679,33.59381945486501
176,177,Aliso,-117.68199160157114,33.59857615190873
177,243,Aliso,-117.68590975505043,33.600783358630366
123537,123531,Aliso,-117.70521716878623,33.58877399856635
12197,186,Aliso,-117.70431457753915,33.600145202179576
190,13,Aliso,-117.66077647787111,33.62706315493804
191,239,Aliso,-117.67498274571656,33.64403556470788
193,175,Aliso,-117.68480054740891,33.59498887668691
194,161,Aliso,-117.70361547254132,33.52085093502112
195,113,Aliso,-117.69487485155253,33.568504717391576
196,67,Aliso,-117.6953548357306,33.59829144026598
197,286,Aliso,-117.69753007090583,33.615607225544665
199,28,Aliso,-117.62523574959567,33.68529564105223
200,65,Aliso,-117.65135651412758,33.65438318206154
201,33,Aliso,-117.66574082532354,33.65055049569423
202,56,Aliso,-117.73361868627102,33.59756061992637
203,288,Aliso,-117.70050647099562,33.59916974936415
204,281,Aliso,-117.66137449255946,33.63127052246503
205,95,Aliso,-117.73233612339172,33.57830898854856
206,338,Aliso,-117.68214165744538,33.61976577887344
207,44,Aliso,-117.68083111736473,33.618184386414725
209,171,Aliso,-117.69446381703165,33.57318613052141
210,216,Aliso,-117.6293974716667,33.69821810785207
211,23,Aliso,-117.62167650766345,33.69193665925688
212,23,Aliso,-117.62390852677892,33.69692352341925
213,328,Aliso,-117.61382823955633,33.694320963055794
214,328,Aliso,-117.61045965548163,33.68979843100475
215,183,Aliso,-117.63182074098206,33.68418101650508
216,23,Aliso,-117.63211140197978,33.69586126134017
218,6,Aliso,-117.74280286404397,33.56025240546364
219,6,Aliso,-117.7528251846298,33.566085661980935
220,221,Aliso,-117.75358765898102,33.55841264126005
221,6,Aliso,-117.74802844255404,33.55156324831245
222,223,Aliso,-117.74702114680363,33.54741691152806
223,226,Aliso,-117.74304831717107,33.54495930149591
224,234,Aliso,-117.74410840331265,33.51854606998907
225,123623,Aliso,-117.74220905539107,33.5245182477093
226,123622,Aliso,-117.74098454554823,33.539749663962034
229,123621,Aliso,-117.72438077915893,33.54272913687399
230,123622,Aliso,-117.73739032521283,33.53655037483545
231,2,Aliso,-117.73378819219698,33.53316942862485
232,2,Aliso,-117.7326649824218,33.522111119906896
233,123623,Aliso,-117.73226990834843,33.51643426115217
123625,123624,Aliso,-117.7402193822829,33.51340819868016
236,200,Aliso,-117.64567161954767,33.65297143017028
237,82,Aliso,-117.65323985366278,33.6411595964491
239,84,Aliso,-117.67476179294975,33.6374887056371
240,27,Aliso,-117.67294329466318,33.63262009673987
242,206,Aliso,-117.68515824072999,33.62122826317636
243,294,Aliso,-117.6891433132534,33.601373089405605
244,52,Aliso,-117.70544955801643,33.61497206600706
245,7,Aliso,-117.71443896440182,33.582013031134494
246,209,Aliso,-117.69550553279032,33.57603702895182
247,246,Aliso,-117.68929609936168,33.57739352688483
248,309,Aliso,-117.73839240478199,33.57970333467969
249,95,Aliso,-117.73609323432406,33.5738845316329
250,218,Aliso,-117.74142483571359,33.56341284737323
251,209,Aliso,-117.6929298340736,33.57175629310798
252,117,Aliso,-117.68809802413855,33.56934997914787
253,163,Aliso,-117.71753163373504,33.523894994058786
254,273,Aliso,-117.70104278585035,33.562928063460994
255,4,Aliso,-117.70050337312432,33.540558006549446
256,128,Aliso,-117.69561509704837,33.54943146977715
257,77,Aliso,-117.71347657324887,33.606610982280436
258,161,Aliso,-117.71879930744973,33.52207043749562
259,255,Aliso,-117.69733714015359,33.54409609537552
260,291,Aliso,-117.69517449282253,33.60157771766559
261,320,Aliso,-117.70925052991056,33.55965292294415
262,3,Aliso,-117.7345386576566,33.55481208238484
263,137,Aliso,-117.6960765237935,33.552490017504525
264,25,Aliso,-117.63586881403444,33.68227062176543
266,55,Aliso,-117.69869642770658,33.61094994922099
268,314,Aliso,-117.71197416974537,33.57328811924833
269,263,Aliso,-117.69311584353787,33.557898735378785
270,187,Aliso,-117.65639146919929,33.65561795800749
273,359,Aliso,-117.70514498969965,33.56458551262614
277,262,Aliso,-117.73133470400086,33.559165058745094
278,23,Aliso,-117.6194342808279,33.68732373469622
279,19,Aliso,-117.64714504165696,33.64927062275879
280,363,Aliso,-117.65820173314538,33.62912529343218
283,55,Aliso,-117.69953493305218,33.61482247019099
284,39,Aliso,-117.69429377245632,33.624894324126856
287,81,Aliso,-117.65730784957512,33.64748446547358
289,291,Aliso,-117.6938053316313,33.60359583256457
290,176,Aliso,-117.68192190456199,33.59625858078134
291,196,Aliso,-117.69271790705595,33.60137174771006
292,67,Aliso,-117.69952256398093,33.59700761898958
293,203,Aliso,-117.69827386235491,33.59922280590883
294,68,Aliso,-117.69028385793214,33.59756897501205
295,172,Aliso,-117.68495203142467,33.5866492448385
296,297,Aliso,-117.690168323217,33.5905252262408
297,69,Aliso,-117.69544267259957,33.59069180228255
298,297,Aliso,-117.694900924059,33.58837534468665
299,301,Aliso,-117.69705669778392,33.58755985289338
300,301,Aliso,-117.69849708608098,33.58649680431516
301,123531,Aliso,-117.69986486780067,33.5881927193084
302,109,Aliso,-117.69837007636647,33.58238868534808
303,341,Aliso,-117.7234094003247,33.604827299983086
305,267,Aliso,-117.7194382559073,33.58830392937622
307,62,Aliso,-117.74683407121941,33.58408654977727
308,205,Aliso,-117.73238848532242,33.581547540022655
309,308,Aliso,-117.73644264346791,33.58175980926921
310,95,Aliso,-117.73563714963612,33.57646980369069
312,123525,Aliso,-117.72111191715766,33.568785464255654
313,167,Aliso,-117.72253893779948,33.56294299337413
315,123526,Aliso,-117.71822877024513,33.567612775641685
316,273,Aliso,-117.7057907595316,33.5675917132826
317,156,Aliso,-117.70419148146652,33.55903512074727
318,156,Aliso,-117.69419427831744,33.560753484639726
319,126,Aliso,-117.70092297829606,33.551693076605105
123529,156,Aliso,-117.70672098605654,33.557432592653676
322,99,Aliso,-117.72539717610977,33.55765352368613
323,166,Aliso,-117.728372191501,33.55427786505949
324,123517,Aliso,-117.72358726639644,33.55262088756159
325,99,Aliso,-117.72299720695324,33.55582372232653
326,160,Aliso,-117.68831294078507,33.53056520037916
328,10,Aliso,-117.61388245787859,33.684074271840345
332,191,Aliso,-117.66957616596609,33.646934299917504
12225,336,Aliso,-117.68202975023831,33.630349655407485
338,45,Aliso,-117.68455735782997,33.61893063098948
339,75,Aliso,-117.69760117546613,33.610100739495465
340,52,Aliso,-117.70901090083169,33.61483781508749
341,78,Aliso,-117.72232578650824,33.60333438526443
343,294,Aliso,-117.68576672911426,33.598305966273195
344,311,Aliso,-117.72172115765545,33.57173585088172
345,205,Aliso,-117.73430898496936,33.578891222883875
346,308,Aliso,-117.73553455019655,33.58048082546288
347,310,Aliso,-117.73870370937891,33.576783183680455
349,123526,Aliso,-117.7156749161008,33.56733472940854
350,123524,Aliso,-117.71660414487397,33.56377710673455
351,99,Aliso,-117.72694781696123,33.56151204033583
353,256,Aliso,-117.69406734585652,33.55370055383267
354,132,Aliso,-117.68307034536372,33.54105691170576
356,159,Aliso,-117.68391657660761,33.534428194066386
357,144,Aliso,-117.7202279219573,33.53353469494728
358,150,Aliso,-117.70800004825418,33.542551187008414
123528,317,Aliso,-117.70641815314957,33.561098465812364
361,332,Aliso,-117.67145660613693,33.64954033469102
362,16,Aliso,-117.6563339032338,33.6308974572097
363,16,Aliso,-117.65799345737355,33.631714361755044
364,188,Aliso,-117.64793741824403,33.64717894884964
365,93,Aliso,-117.72080520193735,33.576274413733785
366,56,Aliso,-117.73338549574204,33.594888199973056
367,20,Aliso,-117.64057644998786,33.65889996630791
1,123622,Aliso,-117.74783893506506,33.532537888901274
4,123796,Aliso,-117.70389178699386,33.541437605081796
5,123735,Aliso,-117.71198397346217,33.58672042501538
7,123730,Aliso,-117.71847396672067,33.58037879807904
9,123755,Aliso,-117.66306722982944,33.64487200061453
10,24,Aliso,-117.61573023834518,33.67898522849426
11,185,Aliso,-117.7056465343097,33.59666902435529
123546,12,Aliso,-117.66883173757273,33.628102457796444
16,123766,Aliso,-117.65815149592844,33.634489482501536
22,123761,Aliso,-117.63029941546591,33.665297956774964
24,123764,Aliso,-117.62599078916423,33.67484129158881
25,330,Aliso,-117.6366295591213,33.677486576170566
12215,123759,Aliso,-117.64814055298683,33.658803268831775
27,123752,Aliso,-117.67696118756763,33.630209016446045
28,24,Aliso,-117.62624722541953,33.68165477055831
31,187,Aliso,-117.66286057411781,33.65704994262303
33,123755,Aliso,-117.66388936281135,33.64759720082824
34,123753,Aliso,-117.6704461625969,33.63662305946319
39,198,Aliso,-117.69323839926483,33.62166539016319
41,241,Aliso,-117.68435731809502,33.62537613876041
45,47,Aliso,-117.68823082615822,33.617167178889545
48,123745,Aliso,-117.69094329280827,33.60824546712165
49,75,Aliso,-117.69500690576105,33.61018041658178
56,58,Aliso,-117.73270518712934,33.59218666416369
59,123733,Aliso,-117.7183550554112,33.59296193479176
65,81,Aliso,-117.65358734573597,33.6501300677826
70,123731,Aliso,-117.70927680983121,33.58285613599959
71,123731,Aliso,-117.70723657221221,33.58140521277403
72,123734,Aliso,-117.70912656051023,33.58837466140139
74,123743,Aliso,-117.69609548356604,33.60474559744037
75,123743,Aliso,-117.70081227145849,33.60636694408027
77,342,Aliso,-117.71500939473296,33.600774669361776
81,123767,Aliso,-117.65980526823975,33.643161593884
82,123766,Aliso,-117.66441775264103,33.63787747571723
12223,85,Aliso,-117.67504870130526,33.63511307854375
93,123689,Aliso,-117.7161475185685,33.57636636968219
97,7,Aliso,-117.71741880321112,33.585097209996256
114,123805,Aliso,-117.68632048743169,33.56140072961314
122,123,Aliso,-117.73936622932189,33.57306720352633
125,6,Aliso,-117.7372756882333,33.5618011752052
126,157,Aliso,-117.70471714367855,33.55277174277687
128,123804,Aliso,-117.69232554343668,33.54828444774232
129,123804,Aliso,-117.68733596297241,33.54802013166551
130,123805,Aliso,-117.68932952548016,33.554235246508654
135,123803,Aliso,-117.69528419247953,33.54222172606045
136,123802,Aliso,-117.69850222256008,33.53919306363945
148,123801,Aliso,-117.70278511868894,33.534769539252736
149,123799,Aliso,-117.70945259692081,33.53079133821867
152,123799,Aliso,-117.71273535243643,33.531082296147375
157,168,Aliso,-117.7069557593882,33.553936109104484
159,123802,Aliso,-117.69312518136053,33.53643517621851
162,123801,Aliso,-117.70270820606382,33.52979098706969
168,123620,Aliso,-117.71534852067875,33.55254294850302
178,123757,Aliso,-117.65493715965667,33.66563757114657
179,123757,Aliso,-117.65200984273898,33.663947697749634
180,182,Aliso,-117.64315429308158,33.66590894307605
181,123760,Aliso,-117.6471154830783,33.664867543184016
182,179,Aliso,-117.64687574799355,33.66995079055728
183,25,Aliso,-117.63139209005357,33.67761567416402
185,304,Aliso,-117.70928699180422,33.593786738174046
12216,187,Aliso,-117.65782748823742,33.65226647615584
188,123768,Aliso,-117.65115017868118,33.645017420885466
189,123766,Aliso,-117.6541201944751,33.638638331688455
192,123765,Aliso,-117.66641010975131,33.632029035774714
198,285,Aliso,-117.68849739998915,33.619968903596046
208,305,Aliso,-117.7240395210334,33.58820237961888
217,218,Aliso,-117.74643675179281,33.57252350677831
227,123622,Aliso,-117.74859188898657,33.540082034388206
228,225,Aliso,-117.74769062686329,33.528201339975894
235,148,Aliso,-117.69340184958787,33.53316463317921
238,123754,Aliso,-117.66701909546111,33.639956949416884
12228,241,Aliso,-117.68728672626617,33.622918833229065
265,123745,Aliso,-117.69325129201741,33.613705283406645
267,123733,Aliso,-117.71675290839781,33.58901546432266
271,241,Aliso,-117.68584987112536,33.62691489936575
272,152,Aliso,-117.7090941370569,33.5261562011123
12214,274,Aliso,-117.63876974669202,33.66111548363233
275,123730,Aliso,-117.70937625831948,33.57801176170369
276,62,Aliso,-117.74032660200842,33.58102136141935
281,123765,Aliso,-117.66406117060573,33.632029035774714
282,123752,Aliso,-117.67922895387335,33.63294811756583
285,286,Aliso,-117.69391497564857,33.61754673091846
286,123746,Aliso,-117.69546096469773,33.61495061346858
288,123743,Aliso,-117.69943519699049,33.60194509609283
304,123737,Aliso,-117.71012842198533,33.5912617194825
306,123730,Aliso,-117.71188536529769,33.580832297667186
311,123689,Aliso,-117.71742949433639,33.57333514260285
314,123729,Aliso,-117.71547161696682,33.57040624772431
320,168,Aliso,-117.71160449943558,33.554400324986815
327,0,Aliso,-117.75005053440263,33.51217636100471
329,24,Aliso,-117.63315339536788,33.672995969306164
330,182,Aliso,-117.64070508790101,33.6714303265033
331,12260,Aliso,-117.65770204824304,33.661269962871486
333,123754,Aliso,-117.6698868221155,33.6412182956099
334,123752,Aliso,-117.67437997895098,33.63334003217193
335,123753,Aliso,-117.67317843235156,33.63695549624744
337,12260,Aliso,-117.65446716809768,33.65842650200513
342,123733,Aliso,-117.71323637411203,33.59464214587176
348,123729,Aliso,-117.71833400686617,33.570601740833325
352,129,Aliso,-117.68315679790803,33.55226175573524
355,123802,Aliso,-117.6931772093386,33.53865869769461
360,168,Aliso,-117.70865310608278,33.55419155113438
123478,2312,Dana Point,-117.74877619675861,33.508961684002514
2202,123666,Dana Point,-117.72372746094398,33.48552805775371
2206,2201,Dana Point,-117.74471916328723,33.50445473686962
2213,0,Dana Point,-117.72988596673721,33.48645029919025
2215,2214,Dana Point,-117.71867616093716,33.47732420150899
2216,0,Dana Point,-117.71717121088706,33.472602393699404
2219,2229,Dana Point,-117.72256156983205,33.499283498459455
2220,2338,Dana Point,-117.72704038019427,33.50000617340369
2221,2327,Dana Point,-117.72709263945089,33.51171069396418
2223,2365,Dana Point,-117.73086795520294,33.5105600383573
2224,2329,Dana Point,-117.7138246068784,33.51300455123794
2225,2329,Dana Point,-117.71741039815052,33.51499769795399
2226,2353,Dana Point,-117.71028767787092,33.509741493800625
2227,2252,Dana Point,-117.70843718719378,33.51549837121935
2228,2363,Dana Point,-117.71153693505904,33.49325590335836
2229,2338,Dana Point,-117.71942997083465,33.501099990954074
2234,2305,Dana Point,-117.71632212564472,33.48659774515899
2238,2252,Dana Point,-117.69669099785686,33.522388491105595
2239,2346,Dana Point,-117.6863640199353,33.52720648640029
2240,2353,Dana Point,-117.7039265404488,33.51242225343164
2241,2264,Dana Point,-117.69582835655723,33.49695901648984
2242,2359,Dana Point,-117.6943831044828,33.50259897095723
2243,2332,Dana Point,-117.70350476063282,33.49340111183386
2244,2363,Dana Point,-117.70717101330933,33.4926385409249
2245,2296,Dana Point,-117.70338449656472,33.504632352724705
2246,2316,Dana Point,-117.68535974111597,33.51115685364482
2247,2250,Dana Point,-117.6892086849922,33.51629250725691
2248,2247,Dana Point,-117.68602244064662,33.5141466614034
2249,2247,Dana Point,-117.6865508915358,33.519901439594406
2250,2354,Dana Point,-117.69943037032633,33.509910512193926
2251,2238,Dana Point,-117.69494414531985,33.51975485947982
2252,2353,Dana Point,-117.70519774160971,33.51539520514921
2253,2346,Dana Point,-117.69054430904565,33.52302689832953
2254,2263,Dana Point,-117.70166029844808,33.48140991447026
2255,2266,Dana Point,-117.71033682628953,33.47518863248875
2256,2257,Dana Point,-117.70485426886455,33.4772067925321
2257,2254,Dana Point,-117.7004075905487,33.47748867504396
2258,2259,Dana Point,-117.70031568979074,33.48840829686271
2259,2263,Dana Point,-117.70097289093337,33.48532320921726
2260,2304,Dana Point,-117.70755108393524,33.48416357741859
2261,2254,Dana Point,-117.69898510611989,33.48228271401765
2262,2332,Dana Point,-117.70489542763235,33.486846204787156
2263,2322,Dana Point,-117.7050846430578,33.48340391720782
2264,2332,Dana Point,-117.69941369015135,33.493069706663334
2265,2333,Dana Point,-117.71235037263405,33.47752561116384
2266,2333,Dana Point,-117.7151443951187,33.47521909774608
2267,2335,Dana Point,-117.70266626324988,33.47444568627134
2268,2266,Dana Point,-117.71368236726671,33.4725117099772
2269,2268,Dana Point,-117.71220745079408,33.472735738595105
2270,2271,Dana Point,-117.70997026786041,33.46767269482042
2271,2268,Dana Point,-117.71128519453208,33.470252841687326
2272,2277,Dana Point,-117.70446966483297,33.466933597327774
2273,2272,Dana Point,-117.70448023044287,33.47148878827508
2274,2288,Dana Point,-117.70052749757802,33.47148878827508
2275,2277,Dana Point,-117.70052561065017,33.467810376865785
2276,2279,Dana Point,-117.7043685764375,33.46467789810549
2277,2279,Dana Point,-117.70245562617012,33.46594237333353
2278,2291,Dana Point,-117.6966855939466,33.46439051860922
2279,2291,Dana Point,-117.70015559872772,33.46459636568976
2282,2290,Dana Point,-117.69053060003455,33.464807701766524
2283,2313,Dana Point,-117.69665753807118,33.466476122840675
2284,2335,Dana Point,-117.6956039266878,33.47430591404808
2285,2283,Dana Point,-117.6963380608558,33.467932179839906
2287,2282,Dana Point,-117.69010562394553,33.46735146854479
2288,2285,Dana Point,-117.6958272884568,33.47179428915739
2289,2286,Dana Point,-117.69263745436533,33.47104641840683
2290,0,Dana Point,-117.68723484178582,33.463199364312885
2291,0,Dana Point,-117.69277077788111,33.46034973647134
2292,2249,Dana Point,-117.6832166191634,33.52187813052073
2293,2321,Dana Point,-117.69126428029041,33.49557122237265
2294,2316,Dana Point,-117.68250962095367,33.506877269787225
2295,2296,Dana Point,-117.71028677789897,33.49888738175495
2296,2237,Dana Point,-117.71272979422808,33.50026708669539
2297,2356,Dana Point,-117.72571455378191,33.51503514450114
2298,2249,Dana Point,-117.68054125188627,33.516787321863696
2299,2357,Dana Point,-117.68942558905525,33.50251983520663
2300,2243,Dana Point,-117.69921345685029,33.50052214362357
2301,2300,Dana Point,-117.69921327910528,33.50289056251928
2302,2220,Dana Point,-117.72773711365836,33.505154878192585
2303,2363,Dana Point,-117.71332782743063,33.48939792572381
2304,2305,Dana Point,-117.71174751150357,33.48483536840157
2306,2237,Dana Point,-117.71549714656814,33.49063798691415
2307,2201,Dana Point,-117.74343882062203,33.50891366179499
2308,2250,Dana Point,-117.6974623484312,33.51505211669959
2309,2252,Dana Point,-117.7005260284937,33.51707109287173
2310,2328,Dana Point,-117.7200893593469,33.51458924356028
2311,2365,Dana Point,-117.73293411861955,33.50933188915066
2312,0,Dana Point,-117.75009102909718,33.50756709427924
2313,2291,Dana Point,-117.69451413654208,33.46450670161546
2314,2283,Dana Point,-117.69902537179914,33.46614927065407
2315,2339,Dana Point,-117.69153614520192,33.519917199431845
2316,123477,Dana Point,-117.68893190560314,33.50673462884175
2317,2341,Dana Point,-117.70726325617852,33.49425743190818
2318,2341,Dana Point,-117.70515226363375,33.49764359757771
2319,2295,Dana Point,-117.70714337897232,33.498686012554316
2320,2259,Dana Point,-117.70212204187482,33.48699281978415
2321,2332,Dana Point,-117.700152318745,33.490411842034334
2322,2362,Dana Point,-117.70650625122278,33.47981713624758
2323,4252,Dana Point,-117.69626618496955,33.475876581808286
2324,4252,Dana Point,-117.69231368026496,33.47470390999297
2326,2329,Dana Point,-117.72196392048915,33.51036197153681
2327,2229,Dana Point,-117.72268086790994,33.5061742447744
2328,2329,Dana Point,-117.71871543703297,33.51154167034741
2329,2229,Dana Point,-117.71777300959295,33.50914544010534
2330,2296,Dana Point,-117.71252793255084,33.50751298422328
2331,2296,Dana Point,-117.7154938518418,33.501049417600804
2332,2363,Dana Point,-117.70569412729623,33.488959146420456
2333,2235,Dana Point,-117.71619112585414,33.47749769627397
2334,2271,Dana Point,-117.70778059074365,33.47091586586768
2335,2274,Dana Point,-117.69927851536787,33.47444568627134
2336,2255,Dana Point,-117.70562182061693,33.475351936093865
2337,0,Dana Point,-117.72660399997552,33.48434681889883
2338,2237,Dana Point,-117.71865887659357,33.493094909701966
2339,2348,Dana Point,-117.69236280390791,33.51752812637251
2340,2227,Dana Point,-117.71111451125356,33.51602645669974
2341,2319,Dana Point,-117.70750253377909,33.49577826265666
2342,2270,Dana Point,-117.70775293576914,33.467859228049576
123660,2284,Dana Point,-117.69484284427529,33.47526628845088
2344,2253,Dana Point,-117.68709156032565,33.523244787068016
2345,2249,Dana Point,-117.68138135609166,33.52102708487686
2346,2238,Dana Point,-117.68983037308053,33.52605143475084
2347,2251,Dana Point,-117.69403549510616,33.51756331994176
2348,2308,Dana Point,-117.69289841650146,33.51526211360752
2349,2249,Dana Point,-117.68339063672704,33.51636724252653
2350,2246,Dana Point,-117.68060040959509,33.51123672068456
2351,2240,Dana Point,-117.70241479814365,33.51380352668415
2352,2252,Dana Point,-117.70999844035092,33.51232905590998
2353,2354,Dana Point,-117.70797318446793,33.509957541395906
2354,2296,Dana Point,-117.70598080332606,33.50688780788907
2355,2225,Dana Point,-117.71371059220886,33.51555469895398
2356,2326,Dana Point,-117.722839134266,33.51665211369277
2357,2241,Dana Point,-117.6918493949592,33.49983161935293
2358,2243,Dana Point,-117.70012148832606,33.497226851538706
2359,2358,Dana Point,-117.69731955527722,33.499898996008255
2360,2256,Dana Point,-117.70369211900481,33.47539255326339
2361,2304,Dana Point,-117.71412101379406,33.48659774515899
2362,2235,Dana Point,-117.71154143276691,33.482197262493
2363,2304,Dana Point,-117.71078578376265,33.489259102250315
2364,2302,Dana Point,-117.72821259783315,33.50850216824267
2365,2220,Dana Point,-117.73108009901902,33.50713245360696
2366,2338,Dana Point,-117.72066224169181,33.4927119457506
2368,2271,Dana Point,-117.70972642437081,33.47231270125529
2370,2362,Dana Point,-117.70858934133764,33.47803491560497
2371,2362,Dana Point,-117.70926491724973,33.48269091625303
2372,2362,Dana Point,-117.71139681460761,33.479639956847905
2373,2287,Dana Point,-117.69080218687525,33.470438827667884
2374,2220,Dana Point,-117.72563228911817,33.495180885251045
123506,123507,Laguna Coast,-117.77789379999487,33.5496770621579
